task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
127	43/3595b1	54014	PRESEQ_LCEXTRAP (SPT5_T0_R1)	FAILED	127	2021-01-30 02:38:27.839	590ms	492ms	-	-	-	-	-
128	a1/f0bde3	54183	PHANTOMPEAKQUALTOOLS (SPT5_T0_R1)	FAILED	1	2021-01-30 02:38:28.431	3.1s	3s	-	-	-	-	-
130	32/e11571	54578	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:38:31.564	759ms	77ms	88.9%	12 MB	26.4 MB	5 MB	10.2 KB
131	9e/56f14e	54829	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:38:32.327	1.4s	689ms	99.3%	13.1 MB	18.2 MB	13.2 MB	4 MB
132	04/7b7bbc	55080	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:38:33.683	1.6s	948ms	64.2%	9.4 MB	25 MB	39.9 MB	31.8 MB
122	23/1804a8	55383	PICARD_COLLECTMULTIPLEMETRICS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:38:35.285	6.3s	5.6s	185.9%	201.2 MB	17.1 GB	58.3 MB	91.3 KB
133	2a/4caf4d	56177	PRESEQ_LCEXTRAP (SPT5_T0_R2)	FAILED	127	2021-01-30 02:38:41.579	613ms	519ms	-	-	-	-	-
135	53/0474f1	56351	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:38:42.194	1.5s	872ms	66.7%	9.2 MB	25 MB	33.8 MB	26.8 MB
134	eb/d576c5	56653	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:38:43.698	704ms	71ms	82.4%	11.7 MB	26.4 MB	4.4 MB	11.8 KB
138	52/f9822c	56897	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:38:44.405	1.3s	680ms	102.2%	13.2 MB	18.4 MB	11.7 MB	3.1 MB
136	cc/29b17e	57154	PHANTOMPEAKQUALTOOLS (SPT5_T0_R2)	FAILED	1	2021-01-30 02:38:45.713	3.8s	3.7s	-	-	-	-	-
129	35/cac56c	57600	PICARD_COLLECTMULTIPLEMETRICS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:38:49.512	5.7s	5.1s	184.4%	203.7 MB	17.1 GB	54.4 MB	127.7 KB
137	3d/aaddd4	58235	PICARD_COLLECTMULTIPLEMETRICS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:38:55.234	5.1s	4.5s	179.9%	198.4 MB	17.1 GB	53.7 MB	135.2 KB
139	1e/f43540	58980	PRESEQ_LCEXTRAP (SPT5_T15_R1)	FAILED	127	2021-01-30 02:39:00.370	700ms	602ms	-	-	-	-	-
140	bf/9b0596	59251	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:39:01.072	811ms	101ms	69.6%	2.9 MB	3.9 MB	6 MB	10.8 KB
141	df/82580f	59634	PHANTOMPEAKQUALTOOLS (SPT5_T15_R1)	FAILED	1	2021-01-30 02:39:01.885	3.3s	3.2s	-	-	-	-	-
142	42/0764a3	60036	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:39:05.192	1.4s	780ms	99.4%	13.2 MB	18.2 MB	14.9 MB	4.7 MB
143	c9/06523f	60288	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:39:06.589	1.8s	1.2s	63.2%	10.8 MB	27.1 MB	48.5 MB	38.5 MB
144	a0/1dd4c1	60618	PICARD_COLLECTMULTIPLEMETRICS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:39:08.384	5.7s	5.1s	182.7%	240.9 MB	17.1 GB	55.4 MB	131 KB
146	98/15c719	61265	PRESEQ_LCEXTRAP (SPT5_T15_R2)	FAILED	127	2021-01-30 02:39:14.117	598ms	494ms	-	-	-	-	-
145	11/4c61a0	61438	PHANTOMPEAKQUALTOOLS (SPT5_T15_R2)	FAILED	1	2021-01-30 02:39:14.717	3.1s	3s	-	-	-	-	-
148	f4/ffd641	61832	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:39:17.842	1.4s	790ms	98.8%	13.2 MB	18.2 MB	15.2 MB	4.9 MB
149	2f/634c06	62087	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:39:19.237	1.8s	1.2s	62.0%	10.6 MB	27.1 MB	48.4 MB	38.5 MB
150	5b/dcfc8d	62450	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:39:21.085	678ms	73ms	94.1%	11.6 MB	26.4 MB	6 MB	10.8 KB
152	de/d67992	62696	JO_METAGENE_ANALYSIS:JO_MERGE_REP_BAM (SPT5_T0)	COMPLETED	0	2021-01-30 02:39:21.772	7.2s	6.6s	97.6%	70.9 MB	936.6 MB	45.9 MB	21.2 MB
151	7a/50f5c5	63287	JO_METAGENE_ANALYSIS:JO_MERGE_REP_BAM (SPT5_INPUT)	COMPLETED	0	2021-01-30 02:39:28.980	12.9s	12.1s	96.7%	129.1 MB	942.6 MB	86.1 MB	43.4 MB
153	31/35f800	64088	JO_METAGENE_ANALYSIS:JO_MERGE_REP_BAM (SPT5_T15)	COMPLETED	0	2021-01-30 02:39:41.886	9.1s	8.2s	97.2%	89.3 MB	936.6 MB	57 MB	27.1 MB
147	12/efccd7	64733	PICARD_COLLECTMULTIPLEMETRICS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:39:50.976	5.7s	4.9s	167.3%	193.8 MB	17.1 GB	55.4 MB	131.4 KB
154	63/e2e1cb	65377	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:39:56.719	937ms	353ms	100.0%	90.7 MB	114.5 MB	5.2 MB	3.8 KB
156	8c/0b4199	65624	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:39:57.667	775ms	21ms	120.0%	2.9 MB	3.9 MB	183.1 KB	645 B
157	49/7a0fcd	65951	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:39:58.445	717ms	110ms	91.7%	11.9 MB	26.4 MB	9.3 MB	744 B
155	29/d8ca72	66204	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:39:59.166	956ms	321ms	100.0%	12.3 MB	27.9 MB	9.3 MB	36.2 KB
158	49/f68529	66454	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:40:00.124	914ms	314ms	100.0%	12.2 MB	27.9 MB	9 MB	36.1 KB
160	1f/2f7ce1	66705	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:40:01.040	704ms	99ms	90.9%	12.2 MB	26.4 MB	9 MB	744 B
159	77/5e174a	66958	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:40:01.746	660ms	20ms	100.0%	2.8 MB	3.9 MB	182.9 KB	645 B
161	d4/b25f9d	67209	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:40:02.411	936ms	348ms	98.6%	96.3 MB	114.5 MB	5.1 MB	4 KB
162	da/3054dc	67453	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:03.351	697ms	21ms	57.1%	2.9 MB	3.9 MB	182.7 KB	638 B
163	f8/8b3be9	67706	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:04.051	673ms	63ms	100.0%	11.9 MB	26.4 MB	5 MB	744 B
166	da/3c3f6c	67951	HOMER_CALLPEAK:HOMER_MAKETAGDIRECTORY (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:04.732	3.2s	2.6s	65.0%	19.2 MB	50.2 MB	121.5 MB	98 MB
164	62/8e5c2f	68427	DEEPTOOLS_PLOTFINGERPRINT (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:07.921	19.8s	19.1s	99.8%	1.1 GB	1.7 GB	73.2 MB	508.1 KB
165	04/7940ed	69328	MACS2_CALLPEAK (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:27.675	2.5s	1.9s	99.0%	56.6 MB	78.3 MB	32.4 MB	14.2 MB
167	8d/809011	69630	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:30.203	883ms	227ms	95.8%	12.5 MB	27.9 MB	5 MB	53.4 KB
168	92/ad43d4	69905	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:40:31.088	1.2s	587ms	98.3%	84 MB	114.5 MB	11.3 MB	52.4 KB
169	a3/99a775	70155	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:32.333	1.2s	536ms	98.2%	75.9 MB	99.2 MB	9.6 MB	33.6 KB
170	09/cc7f91	70403	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:33.533	719ms	30ms	75.0%	2.8 MB	3.9 MB	184.2 KB	637 B
171	11/f56fce	70653	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:34.254	692ms	59ms	92.3%	11.7 MB	26.4 MB	4.4 MB	738 B
172	c6/9d00dc	70902	DEEPTOOLS_PLOTFINGERPRINT (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:34.948	19.5s	18.9s	101.0%	1.1 GB	1.7 GB	70.5 MB	508 KB
173	7e/e5600a	71774	HOMER_CALLPEAK:HOMER_MAKETAGDIRECTORY (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:54.474	3.1s	2.6s	62.9%	19.1 MB	50.2 MB	118 MB	95.2 MB
175	22/555a5b	72248	MACS2_CALLPEAK (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:57.598	2.3s	1.6s	100.0%	57.1 MB	77.8 MB	32.1 MB	14.3 MB
174	77/a5be02	72559	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:40:59.866	871ms	196ms	97.6%	12.6 MB	27.9 MB	4.4 MB	57.4 KB
176	a3/c3a820	72822	DEEPTOOLS_PLOTFINGERPRINT (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:00.739	19.1s	18.5s	101.0%	1.1 GB	1.7 GB	70.3 MB	508.1 KB
177	a6/bb0c69	73697	MACS2_CALLPEAK (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:19.887	2.4s	1.7s	99.4%	58.1 MB	79.2 MB	34.1 MB	14.9 MB
178	2d/1fa75d	74003	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:22.247	929ms	252ms	98.1%	12.5 MB	27.9 MB	6 MB	53.7 KB
181	e5/dd571a	74268	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:23.178	691ms	73ms	94.1%	12.1 MB	26.4 MB	6 MB	743 B
180	c3/c494d5	74511	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:23.871	672ms	29ms	66.7%	3 MB	3.9 MB	183.2 KB	639 B
179	7e/581d37	74755	HOMER_CALLPEAK:HOMER_MAKETAGDIRECTORY (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:24.545	3.5s	2.9s	63.8%	10.5 MB	27.1 MB	130.1 MB	104.8 MB
182	1a/fb651a	75123	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:41:28.008	1.3s	712ms	97.9%	90.1 MB	114.5 MB	14.3 MB	51.4 KB
183	ae/189be7	75370	JO_DIFFBIND_WITHOUT_CONTROL ([SPT5_INPUT_R2, SPT5_INPUT_R1])	FAILED	1	2021-01-30 02:41:29.357	40.4s	40.4s	-	-	-	-	-
184	e1/542d17	76536	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_FINDPEAKS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:09.813	1.3s	719ms	98.6%	96.3 MB	114.5 MB	13.8 MB	54.7 KB
185	89/a79e95	76779	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:11.130	752ms	25ms	75.0%	2.9 MB	3.9 MB	183.2 KB	639 B
186	b1/1df459	77066	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:11.885	939ms	292ms	103.4%	12.3 MB	27.9 MB	6 MB	54.5 KB
187	53/cdfbbf	77323	BAM_CLEAN:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:12.827	736ms	69ms	93.3%	11.9 MB	26.4 MB	6 MB	743 B
189	16/8beca4	77571	HOMER_CALLPEAK:HOMER_MAKETAGDIRECTORY (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:13.567	3.5s	2.9s	62.8%	18.9 MB	50.2 MB	132.7 MB	107 MB
188	f6/1577ad	77989	DEEPTOOLS_PLOTFINGERPRINT (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:17.111	19.3s	18.7s	101.3%	1.1 GB	1.7 GB	69.5 MB	508.2 KB
190	b6/3c24b3	78866	MACS2_CALLPEAK (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:42:36.406	2.4s	1.7s	99.4%	55.8 MB	77.5 MB	35.2 MB	15.8 MB
192	3e/67ceee	79172	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:42:38.766	725ms	43ms	54.5%	9.7 MB	13.4 MB	176.5 KB	1.5 KB
191	9f/679a97	79433	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:42:39.493	4.4s	3.8s	100.4%	312 MB	333.4 MB	54.9 MB	5.5 MB
193	47/30c56c	80037	BEDTOOLS_GENOMECOV (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:42:43.933	1.4s	744ms	141.7%	14.5 MB	29.4 MB	16.2 MB	10.4 MB
194	a2/44941c	80320	BEDTOOLS_GENOMECOV (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:42:45.333	1.5s	728ms	144.9%	15.7 MB	29.4 MB	15.6 MB	10 MB
195	05/e31122	80599	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:42:46.787	757ms	28ms	100.0%	2.9 MB	3.9 MB	176.7 KB	1.6 KB
196	a0/4e2ec3	80844	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:42:47.546	4.3s	3.7s	100.3%	410.6 MB	430.3 MB	54.9 MB	5.5 MB
197	23/6f49d0	81447	BEDTOOLS_GENOMECOV (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:42:51.883	1.1s	464ms	140.9%	14.5 MB	29.4 MB	6.8 MB	3.7 MB
198	8f/f7b1ed	81724	HOMER_CALLPEAK:HOMER_FINDPEAKS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:42:52.975	1.5s	813ms	97.6%	83.5 MB	100.9 MB	16.1 MB	63.2 KB
200	c4/806f9f	81973	FRIP_SCORE (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:42:54.451	1.1s	441ms	110.1%	13.7 MB	25.1 MB	17.1 MB	7.2 MB
199	08/2ee127	82311	HOMER_ANNOTATEPEAKS_MACS2 (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:42:55.538	4.4s	3.8s	99.7%	266.8 MB	329.9 MB	55.3 MB	5.8 MB
202	a4/b37284	82916	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:42:59.979	662ms	31ms	88.9%	2.8 MB	3.9 MB	225.3 KB	21.2 KB
201	27/6ebede	83160	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:43:00.643	4.5s	3.8s	100.1%	70.2 MB	78.1 MB	55.4 MB	5.8 MB
204	ad/10360a	83772	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:05.100	648ms	28ms	66.7%	2.6 MB	3.9 MB	206.5 KB	13.6 KB
203	ea/41ad74	84018	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:05.751	4.3s	3.7s	100.0%	403.3 MB	430.8 MB	55.2 MB	5.7 MB
205	d6/a31d4d	84619	BEDTOOLS_GENOMECOV (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:10.098	1s	379ms	137.8%	15.4 MB	29.4 MB	5.8 MB	3 MB
206	57/0240c6	84902	HOMER_CALLPEAK:HOMER_FINDPEAKS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:11.105	1.3s	712ms	100.0%	81 MB	100.9 MB	14.2 MB	41.2 KB
208	e0/ccf605	85160	FRIP_SCORE (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:12.445	1s	413ms	111.1%	13.1 MB	24.9 MB	14.6 MB	6 MB
207	52/b9303c	85491	HOMER_ANNOTATEPEAKS_MACS2 (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:43:13.485	4.3s	3.7s	100.1%	418.9 MB	439.2 MB	55.2 MB	5.8 MB
210	51/8756d2	86095	FRIP_SCORE (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:17.799	1.2s	548ms	108.9%	13.2 MB	24.9 MB	20.4 MB	8.5 MB
209	84/415205	86435	HOMER_ANNOTATEPEAKS_MACS2 (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:18.966	4.4s	3.8s	100.3%	318.1 MB	339.4 MB	55.3 MB	5.8 MB
211	6b/920cd3	87042	BEDTOOLS_GENOMECOV (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:23.375	1.2s	534ms	139.0%	14.6 MB	29.4 MB	8.2 MB	4.5 MB
212	82/8b9175	87322	HOMER_CALLPEAK:HOMER_FINDPEAKS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:24.562	1.4s	876ms	100.0%	94.9 MB	116.1 MB	19.5 MB	61.7 KB
214	88/bcb513	87565	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:26.008	659ms	31ms	85.7%	2.9 MB	3.9 MB	224.3 KB	20.9 KB
213	04/4090bc	87821	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:43:26.671	4.4s	3.8s	99.9%	319.6 MB	340.5 MB	55.4 MB	5.8 MB
215	52/92eacc	88428	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_POS2BED (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:31.095	648ms	25ms	100.0%	2.9 MB	3.9 MB	227.5 KB	22.3 KB
216	46/a57858	88668	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_ANNOTATEPEAKS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:31.745	4.5s	3.8s	100.3%	342.6 MB	416.6 MB	55.4 MB	5.9 MB
217	01/d8b377	89275	BEDTOOLS_GENOMECOV (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:36.212	1.2s	541ms	138.3%	15.5 MB	29.4 MB	8.3 MB	4.6 MB
218	48/6ba824	89553	HOMER_CALLPEAK:HOMER_FINDPEAKS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:37.423	1.5s	926ms	98.9%	75.9 MB	100.9 MB	19.1 MB	65.4 KB
219	5d/f420d6	89799	FRIP_SCORE (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:38.952	1.2s	526ms	113.5%	12 MB	25.1 MB	20.6 MB	8.7 MB
221	61/e0fc76	90137	PLOT_MACS2_QC (1)	COMPLETED	0	2021-01-30 02:43:40.138	6.4s	5.7s	67.7%	125.3 MB	305.6 MB	31.2 MB	1.3 MB
222	ba/849a61	90726	MACS2_CONSENSUS (SPT5)	COMPLETED	0	2021-01-30 02:43:46.505	5s	4.4s	71.1%	113 MB	294.1 MB	30.6 MB	1.6 MB
220	b3/aaaa24	91290	HOMER_ANNOTATEPEAKS_MACS2 (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:43:51.546	4.5s	3.8s	100.1%	70.9 MB	78.9 MB	55.3 MB	5.8 MB
223	69/996c00	91929	JO_DIFFBIND ([SPT5_T0_R1, SPT5_T0_R2, SPT5_T15_R1, SPT5_T15_R2])	COMPLETED	0	2021-01-30 02:43:56.087	1m 59s	1m 59s	100.9%	3.3 GB	4.9 GB	287.1 MB	2.8 MB
224	ff/aab549	94286	UCSC_BEDRAPHTOBIGWIG (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:45:55.359	1.2s	321ms	84.8%	7.4 MB	29.7 MB	10.5 MB	958.6 KB
225	2c/f4ab0b	94541	UCSC_BEDRAPHTOBIGWIG (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:45:56.514	892ms	267ms	101.9%	13.3 MB	30.4 MB	10.1 MB	932.3 KB
226	ef/3d1c11	94796	UCSC_BEDRAPHTOBIGWIG (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:45:57.409	781ms	154ms	106.7%	13.4 MB	30.4 MB	5.7 MB	640.7 KB
228	7c/53b77e	95036	HOMER_CALLPEAK:HOMER_POS2BED (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:45:58.192	692ms	41ms	50.0%	2.8 MB	3.9 MB	236 KB	19.6 KB
227	2b/0559db	95287	HOMER_CALLPEAK:HOMER_ANNOTATEPEAKS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:45:58.889	4.4s	3.8s	100.1%	333.6 MB	416 MB	55.4 MB	5.9 MB
229	0a/86d32c	95894	MULTIQC_CUSTOM_PEAKS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:46:03.274	665ms	8ms	50.0%	0	0	197.8 KB	54.1 KB
230	ec/48a0ac	96121	UCSC_BEDRAPHTOBIGWIG (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:46:03.941	751ms	132ms	100.0%	13.2 MB	30.4 MB	4.6 MB	539.5 KB
231	96/495a78	96371	HOMER_CALLPEAK:HOMER_POS2BED (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:46:04.697	667ms	25ms	80.0%	2.7 MB	3.9 MB	214 KB	12.9 KB
232	ac/f37ead	96610	HOMER_CALLPEAK:HOMER_ANNOTATEPEAKS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:46:05.370	4.4s	3.7s	100.7%	370.2 MB	415.5 MB	55.2 MB	5.7 MB
233	30/eeb711	97213	MULTIQC_CUSTOM_PEAKS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:46:09.764	648ms	9ms	200.0%	0	0	169 KB	39.6 KB
234	3a/ffb357	97434	MULTIQC_CUSTOM_PEAKS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:46:10.414	656ms	11ms	40.0%	0	0	190.4 KB	50.3 KB
235	bd/9d391a	97659	UCSC_BEDRAPHTOBIGWIG (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:46:11.073	824ms	185ms	102.7%	13.5 MB	30.4 MB	6.8 MB	718.9 KB
237	89/3fa7d2	97917	HOMER_CALLPEAK:HOMER_POS2BED (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:46:11.901	662ms	25ms	85.7%	2.7 MB	3.9 MB	234.5 KB	19.2 KB
236	51/9b1779	98158	HOMER_CALLPEAK:HOMER_ANNOTATEPEAKS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:46:12.568	4.4s	3.8s	100.3%	326.2 MB	416.3 MB	55.4 MB	5.8 MB
238	fb/abff66	98762	JO_DIFFBIND_HOMER_WITHOUT_CONTROL ([SPT5_INPUT_R2, SPT5_INPUT_R1])	FAILED	1	2021-01-30 02:46:17.002	39.5s	39.4s	-	-	-	-	-
239	f1/533327	99897	UCSC_BEDRAPHTOBIGWIG (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:46:56.521	801ms	188ms	100.0%	13.4 MB	30.4 MB	7 MB	732.7 KB
240	e2/073d4a	100139	HOMER_CALLPEAK:HOMER_POS2BED (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:46:57.324	653ms	26ms	100.0%	2.8 MB	3.9 MB	238.2 KB	20.4 KB
241	a0/af0e2b	100395	HOMER_CALLPEAK:HOMER_ANNOTATEPEAKS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:46:57.979	4.4s	3.8s	100.0%	374.3 MB	416.3 MB	55.5 MB	5.9 MB
