task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
46	18/e2d232	27223	PICARD_MERGESAMFILES (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:35:51.355	1.8s	1.1s	166.7%	53.7 MB	12.9 GB	6.7 MB	217 B
47	e6/b5d39c	27598	PICARD_MERGESAMFILES (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:35:53.193	1.7s	996ms	167.7%	59.8 MB	12.9 GB	6.7 MB	217 B
48	66/a9cb94	27971	PICARD_MERGESAMFILES (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:35:54.927	1.7s	952ms	162.3%	51.5 MB	12.9 GB	6.7 MB	217 B
49	d9/732494	28345	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R1_T1)	COMPLETED	0	2021-01-30 02:35:56.627	1.1s	391ms	100.0%	12.4 MB	27.9 MB	10.5 MB	36.9 KB
50	7e/2e7796	28602	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R1_T1)	COMPLETED	0	2021-01-30 02:35:57.718	758ms	118ms	92.3%	12 MB	26.4 MB	10.5 MB	744 B
51	f4/3e8897	28850	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R1_T1)	COMPLETED	0	2021-01-30 02:35:58.480	655ms	28ms	75.0%	2.9 MB	3.9 MB	182.9 KB	647 B
52	64/f6395e	29097	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R2_T1)	COMPLETED	0	2021-01-30 02:35:59.139	1s	378ms	96.2%	12 MB	27.9 MB	10.5 MB	36.8 KB
53	19/64bf03	29347	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R2_T1)	COMPLETED	0	2021-01-30 02:36:00.150	727ms	123ms	100.0%	11.7 MB	26.4 MB	10.5 MB	745 B
54	61/e352e4	29601	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R2_T1)	COMPLETED	0	2021-01-30 02:36:00.883	699ms	24ms	100.0%	2.8 MB	3.9 MB	183.1 KB	647 B
55	eb/820bd5	29843	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R1_T1)	COMPLETED	0	2021-01-30 02:36:01.586	738ms	105ms	104.8%	11.9 MB	26.4 MB	8.6 MB	759 B
56	86/8e65a5	30095	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R1_T1)	COMPLETED	0	2021-01-30 02:36:02.327	968ms	367ms	97.4%	12.3 MB	27.9 MB	8.6 MB	59.6 KB
57	72/0efaf4	30340	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R1_T1)	COMPLETED	0	2021-01-30 02:36:03.302	758ms	22ms	75.0%	2.8 MB	3.9 MB	182.6 KB	655 B
